ChEMBLID,UniProt,EnsemblID
CHEMBL1795176,Q9NQR1,ENSG00000183955
CHEMBL3831288,P14151,ENSG00000188404
CHEMBL3161,P14151,ENSG00000188404
CHEMBL3831288,P16581,ENSG00000007908
CHEMBL3890,P16581,ENSG00000007908
CHEMBL3831288,P16109,ENSG00000174175
CHEMBL5378,P16109,ENSG00000174175
CHEMBL1075115,Q9NR20,ENSG00000010219
CHEMBL3924,Q9NRW4,ENSG00000112679
CHEMBL4105860,Q9Y336,ENSG00000129450
CHEMBL3430874,Q9UBR1,ENSG00000100024
CHEMBL3712881,P06731,ENSG00000105388
CHEMBL4903,P24666,ENSG00000143727
CHEMBL3542437,A0A087X1C5,ENSG00000205702
CHEMBL5604,Q15569,ENSG00000107140
CHEMBL1613742,Q7RTX0,ENSG00000169962
CHEMBL3580486,P35225,ENSG00000169194
CHEMBL3580489,O15123,ENSG00000091879
CHEMBL3721311,Q16877,ENSG00000114268
CHEMBL3580496,P01583,ENSG00000115008
CHEMBL3588737,Q9NQV7,ENSG00000164256
CHEMBL3826867,P45973,ENSG00000094916
CHEMBL6163,O95239,ENSG00000090889
CHEMBL3769296,Q6RI45,ENSG00000165288
CHEMBL3390821,P15391,ENSG00000177455
CHEMBL4056,Q16706,ENSG00000112893
CHEMBL3797014,O76031,ENSG00000166855
CHEMBL1615388,Q9UBE0,ENSG00000142230
CHEMBL4523584,Q16553,ENSG00000160932
CHEMBL4523584,Q16553,ENSG00000278032
CHEMBL2189153,Q99757,ENSG00000100348
CHEMBL1075196,O14782,ENSG00000084731
CHEMBL4106174,P11387,ENSG00000198900
CHEMBL1781,P11387,ENSG00000198900
CHEMBL4106174,P11388,ENSG00000131747
CHEMBL1806,P11388,ENSG00000131747
CHEMBL2094255,P11388,ENSG00000131747
CHEMBL2046260,Q6YP21,ENSG00000137944
CHEMBL3588738,Q96L73,ENSG00000165671
CHEMBL3580493,P16422,ENSG00000119888
CHEMBL3879857,Q8N8U2,ENSG00000166446
CHEMBL3232685,O00257,ENSG00000141582
CHEMBL2052031,Q13451,ENSG00000096060
CHEMBL3707465,P07305,ENSG00000189060
CHEMBL4630880,Q96PD4,ENSG00000112116
CHEMBL2058,P11836,ENSG00000156738
CHEMBL1772927,P34896,ENSG00000176974
CHEMBL1772927,P34896,ENSG00000284320
CHEMBL5915,P33908,ENSG00000111885
CHEMBL4523421,Q92994,ENSG00000185024
CHEMBL1883,P17787,ENSG00000160716
CHEMBL4295749,P35226,ENSG00000168283
CHEMBL4523291,Q14435,ENSG00000115339
CHEMBL5046,Q6PFW1,ENSG00000168781
CHEMBL3284,P00325,ENSG00000196616
CHEMBL2096668,P00325,ENSG00000196616
CHEMBL3596085,P01019,ENSG00000135744
CHEMBL2184,Q9UGM1,ENSG00000174343
CHEMBL2034810,Q9BXN2,ENSG00000172243
CHEMBL1681619,P06132,ENSG00000126088
CHEMBL3580487,Q9BQB4,ENSG00000167941
CHEMBL4295747,P34897,ENSG00000182199
CHEMBL4630843,Q8N6M0,ENSG00000155100
CHEMBL4630849,Q96JH7,ENSG00000175073
CHEMBL4523280,Q08ET2,ENSG00000254415
CHEMBL4523232,P49591,ENSG00000031698
CHEMBL4240,P22061,ENSG00000120265
CHEMBL2052032,P60484,ENSG00000171862
CHEMBL2206,Q9UKG9,ENSG00000005469
CHEMBL2059,P01374,ENSG00000230279
CHEMBL2059,P01374,ENSG00000226979
CHEMBL2059,P01374,ENSG00000231408
CHEMBL4295674,O75190,ENSG00000105993
CHEMBL4295961,Q9NR50,ENSG00000070785
CHEMBL4523352,Q6UXH0,ENSG00000130173
CHEMBL4295816,Q13501,ENSG00000161011
CHEMBL4802014,Q96P11,ENSG00000130305
CHEMBL4295821,Q14444,ENSG00000135387
CHEMBL2399,P15848,ENSG00000113273
CHEMBL3886123,Q9UKU6,ENSG00000072657
CHEMBL2388,Q9UDW1,ENSG00000184076
CHEMBL4295766,P48643,ENSG00000150753
CHEMBL5266,Q7Z2K8,ENSG00000169258
CHEMBL3831287,Q8IWU9,ENSG00000139287
CHEMBL5433,Q8IWU9,ENSG00000139287
CHEMBL3831287,P17752,ENSG00000129167
CHEMBL5689,P17752,ENSG00000129167
CHEMBL3307226,O43614,ENSG00000137252
CHEMBL4792,O43614,ENSG00000137252
CHEMBL3307226,O43613,ENSG00000121764
CHEMBL5113,O43613,ENSG00000121764
CHEMBL4296642,Q08881,ENSG00000113263
CHEMBL2959,Q08881,ENSG00000113263
CHEMBL4296642,P51813,ENSG00000102010
CHEMBL3834,P51813,ENSG00000102010
CHEMBL4296642,P42680,ENSG00000135605
CHEMBL4246,P42680,ENSG00000135605
CHEMBL4296642,P42681,ENSG00000074966
CHEMBL4367,P42681,ENSG00000074966
CHEMBL4296642,Q06187,ENSG00000010671
CHEMBL5251,Q06187,ENSG00000010671
CHEMBL1795118,O43463,ENSG00000101945
CHEMBL1628478,P51788,ENSG00000114859
CHEMBL3351192,Q9NSI6,ENSG00000185658
CHEMBL6103,P08047,ENSG00000185591
CHEMBL4105899,P63104,ENSG00000164924
CHEMBL1293286,P11940,ENSG00000070756
CHEMBL5044,Q6P3R8,ENSG00000197168
CHEMBL4524130,Q6P3R8,ENSG00000197168
CHEMBL5466,Q13705,ENSG00000114739
CHEMBL4105857,P61158,ENSG00000115091
CHEMBL4105824,P21912,ENSG00000117118
CHEMBL3580482,Q8WXI7,ENSG00000181143
CHEMBL3988583,P35270,ENSG00000116096
CHEMBL1795151,P49789,ENSG00000189283
CHEMBL2363043,P29317,ENSG00000142627
CHEMBL2068,P29317,ENSG00000142627
CHEMBL2363043,P29323,ENSG00000133216
CHEMBL3290,P29323,ENSG00000133216
CHEMBL2363043,P54756,ENSG00000145242
CHEMBL3987,P54756,ENSG00000145242
CHEMBL2363043,P54764,ENSG00000116106
CHEMBL3988,P54764,ENSG00000116106
CHEMBL2363043,P29322,ENSG00000070886
CHEMBL4134,P29322,ENSG00000070886
CHEMBL2363043,Q9UF33,ENSG00000080224
CHEMBL4526,Q9UF33,ENSG00000080224
CHEMBL2363043,Q15375,ENSG00000135333
