CHEMBL296468	DB05969
CHEMBL360861	
CHEMBL942	DB09020
CHEMBL75967	
CHEMBL635	DB00635
CHEMBL51931	
CHEMBL366460	DB12007
CHEMBL576982	DB12874
CHEMBL510279	
CHEMBL600336	
CHEMBL467	DB01005
CHEMBL1336	DB00398
CHEMBL1234354	DB11974
CHEMBL191003	
CHEMBL56393	
CHEMBL1096979	DB12783
CHEMBL2109482	
CHEMBL1502	DB00213
CHEMBL568	DB00842
CHEMBL1388703	
CHEMBL2013119	
CHEMBL2093999	
CHEMBL263881	DB04829
CHEMBL578741	
CHEMBL1372046	
CHEMBL528694	
CHEMBL1201571	
CHEMBL266195	DB00866
CHEMBL2103836	DB12105
CHEMBL91732	
CHEMBL366947	
CHEMBL441343	DB04242
CHEMBL491473	DB04849
CHEMBL3301618	DB12303
CHEMBL34241	
CHEMBL2095222	
CHEMBL411	DB00255
CHEMBL3545209	
CHEMBL269732	DB00864
CHEMBL53463	DB00997
CHEMBL165	DB02709
CHEMBL1201155	
CHEMBL1289601	DB09078
CHEMBL10316	DB12551
CHEMBL1276308	DB00834
CHEMBL848	DB00480
CHEMBL278041	
CHEMBL526776	
CHEMBL515	DB00291
CHEMBL131	DB00860
CHEMBL219916	DB01184
CHEMBL6966	DB00661
CHEMBL295416	
CHEMBL260311	
CHEMBL275742	DB03322
CHEMBL3545360	DB12729
CHEMBL803	DB00987
CHEMBL1292	DB00845
CHEMBL107	DB08117
CHEMBL476323	DB11910
CHEMBL548	DB00917
CHEMBL285802	DB09225
CHEMBL1237123	DB01135
CHEMBL553025	DB00361
CHEMBL451	DB00475
CHEMBL428647	DB01229
CHEMBL1175	DB00476
CHEMBL1908360	DB01590
CHEMBL1263	DB00938
CHEMBL223360	
CHEMBL1512	DB00180
CHEMBL3187365	
CHEMBL449158	
CHEMBL486696	
CHEMBL1488393	
CHEMBL447876	
CHEMBL564	DB00420
CHEMBL1789941	DB08877
CHEMBL301523	DB00120
CHEMBL432162	DB01349
CHEMBL31741	
CHEMBL477772	DB06589
CHEMBL1200434	DB01303
